2023-12-19 16:12:619 INFO  ManageBrowser :36 - Clicking on computer page link : [[ChromeDriver: chrome on windows (0d6d2236c049660e33f84bd79584cd5e)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-12-19 16:12:70 INFO  ManageBrowser :33 - Clicking On Desktops menu : [[ChromeDriver: chrome on windows (0d6d2236c049660e33f84bd79584cd5e)] -> xpath: //li[@class='active last']//a[normalize-space()='Desktops']]
2023-12-19 16:12:531 INFO  ManageBrowser :35 - Clicking On Build Your Computer link : [[ChromeDriver: chrome on windows (0d6d2236c049660e33f84bd79584cd5e)] -> xpath: //h2[@class='product-title']//a[normalize-space()='Build your own computer']]
2023-12-19 16:12:576 INFO  ManageBrowser :65 - Selecting processor from drop-down : [[ChromeDriver: chrome on windows (0d6d2236c049660e33f84bd79584cd5e)] -> xpath: //select[@id='product_attribute_1']]
2023-12-19 16:12:624 INFO  ManageBrowser :70 - Selecting RAM from drop-down : [[ChromeDriver: chrome on windows (0d6d2236c049660e33f84bd79584cd5e)] -> xpath: //select[@id='product_attribute_2']]
2023-12-19 16:12:657 INFO  ManageBrowser :75 - Selecting 320GB HDD : [[ChromeDriver: chrome on windows (0d6d2236c049660e33f84bd79584cd5e)] -> xpath: //input[@id='product_attribute_3_6']]
2023-12-19 16:12:688 INFO  ManageBrowser :90 - Selecting Vista Premier OS : [[ChromeDriver: chrome on windows (0d6d2236c049660e33f84bd79584cd5e)] -> xpath: //input[@id='product_attribute_4_9']]
2023-12-19 16:12:719 INFO  ManageBrowser :95 - Clicking on Microsoft Office Software : [[ChromeDriver: chrome on windows (0d6d2236c049660e33f84bd79584cd5e)] -> xpath: //input[@id='product_attribute_5_10']]
2023-12-19 16:12:746 INFO  ManageBrowser :105 - Clicking on Total Commander Software : [[ChromeDriver: chrome on windows (0d6d2236c049660e33f84bd79584cd5e)] -> xpath: //input[@id='product_attribute_5_12']]
2023-12-19 16:12:776 INFO  ManageBrowser :110 - Clicking on Add to Cart : [[ChromeDriver: chrome on windows (0d6d2236c049660e33f84bd79584cd5e)] -> xpath: //button[@id='add-to-cart-button-1']]
2023-12-19 16:12:103 INFO  ManageBrowser :114 - Getting Add to cart success message : [[ChromeDriver: chrome on windows (0d6d2236c049660e33f84bd79584cd5e)] -> xpath: //p[@class='content']]
2023-12-19 16:12:862 INFO  ManageBrowser :31 - Chrome Browser Launch .....
2023-12-19 16:12:511 INFO  ManageBrowser :46 - Clicking on login link : [[ChromeDriver: chrome on windows (52cb9434126d46bc25f5c8cfc3b23d05)] -> xpath: //a[normalize-space()='Log in']]
2023-12-19 16:12:524 INFO  ManageBrowser :40 - Getting welcome message : [[ChromeDriver: chrome on windows (52cb9434126d46bc25f5c8cfc3b23d05)] -> xpath: //h1[normalize-space()='Welcome, Please Sign In!']]
2023-12-19 16:12:283 INFO  ManageBrowser :31 - Chrome Browser Launch .....
2023-12-19 16:12:750 INFO  ManageBrowser :46 - Clicking on login link : [[ChromeDriver: chrome on windows (b31176db31205dbb917c9264424271c5)] -> xpath: //a[normalize-space()='Log in']]
2023-12-19 16:12:796 INFO  ManageBrowser :46 - Sending text to email field : [[ChromeDriver: chrome on windows (b31176db31205dbb917c9264424271c5)] -> id: Email]
2023-12-19 16:12:831 INFO  ManageBrowser :51 - Sending text to password field : [[ChromeDriver: chrome on windows (b31176db31205dbb917c9264424271c5)] -> id: Password]
2023-12-19 16:12:70 INFO  ManageBrowser :56 - Clicking on login button : [[ChromeDriver: chrome on windows (b31176db31205dbb917c9264424271c5)] -> xpath: //button[normalize-space()='Log in']]
2023-12-19 16:12:87 INFO  ManageBrowser :60 - Getting login unsuccessful message : [[ChromeDriver: chrome on windows (b31176db31205dbb917c9264424271c5)] -> xpath: //div[@class='message-error validation-summary-errors']]
2023-12-19 16:12:849 INFO  ManageBrowser :31 - Chrome Browser Launch .....
2023-12-19 16:12:197 INFO  ManageBrowser :46 - Clicking on login link : [[ChromeDriver: chrome on windows (1ac8bc8e62dfb9e6f36aba54f44046e9)] -> xpath: //a[normalize-space()='Log in']]
2023-12-19 16:12:244 INFO  ManageBrowser :46 - Sending text to email field : [[ChromeDriver: chrome on windows (1ac8bc8e62dfb9e6f36aba54f44046e9)] -> id: Email]
2023-12-19 16:12:278 INFO  ManageBrowser :51 - Sending text to password field : [[ChromeDriver: chrome on windows (1ac8bc8e62dfb9e6f36aba54f44046e9)] -> id: Password]
2023-12-19 16:12:492 INFO  ManageBrowser :56 - Clicking on login button : [[ChromeDriver: chrome on windows (1ac8bc8e62dfb9e6f36aba54f44046e9)] -> xpath: //button[normalize-space()='Log in']]
2023-12-19 16:12:26 INFO  ManageBrowser :31 - Chrome Browser Launch .....
2023-12-19 16:12:542 INFO  ManageBrowser :46 - Clicking on login link : [[ChromeDriver: chrome on windows (c26fd36ac507c9349ac2ee375b18938c)] -> xpath: //a[normalize-space()='Log in']]
2023-12-19 16:12:608 INFO  ManageBrowser :46 - Sending text to email field : [[ChromeDriver: chrome on windows (c26fd36ac507c9349ac2ee375b18938c)] -> id: Email]
2023-12-19 16:12:642 INFO  ManageBrowser :51 - Sending text to password field : [[ChromeDriver: chrome on windows (c26fd36ac507c9349ac2ee375b18938c)] -> id: Password]
2023-12-19 16:12:896 INFO  ManageBrowser :56 - Clicking on login button : [[ChromeDriver: chrome on windows (c26fd36ac507c9349ac2ee375b18938c)] -> xpath: //button[normalize-space()='Log in']]
2023-12-19 16:12:207 INFO  ManageBrowser :31 - Chrome Browser Launch .....
2023-12-19 16:12:812 INFO  ManageBrowser :88 - Getting welcome message : [[ChromeDriver: chrome on windows (804d99526f63999d31af8d77168b8c1f)] -> xpath: //h1[normalize-space()='Register']]
2023-12-19 16:12:543 INFO  ManageBrowser :31 - Chrome Browser Launch .....
2023-12-19 16:12:161 INFO  ManageBrowser :119 - Clicking on register button : [[ChromeDriver: chrome on windows (831fc83ca1fa55e4ff902bff4f9c2383)] -> xpath: //button[@id='register-button']]
2023-12-19 16:12:170 INFO  ManageBrowser :128 - Getting error message for firstname field : [[ChromeDriver: chrome on windows (831fc83ca1fa55e4ff902bff4f9c2383)] -> id: FirstName-error]
2023-12-19 16:12:187 INFO  ManageBrowser :133 - Getting error message for lastname field : [[ChromeDriver: chrome on windows (831fc83ca1fa55e4ff902bff4f9c2383)] -> id: LastName-error]
2023-12-19 16:12:201 INFO  ManageBrowser :138 - Getting error message for email field : [[ChromeDriver: chrome on windows (831fc83ca1fa55e4ff902bff4f9c2383)] -> id: Email-error]
2023-12-19 16:12:215 INFO  ManageBrowser :143 - Getting error message for password field : [[ChromeDriver: chrome on windows (831fc83ca1fa55e4ff902bff4f9c2383)] -> id: Password-error]
2023-12-19 16:12:228 INFO  ManageBrowser :148 - Getting error message for conform password field : [[ChromeDriver: chrome on windows (831fc83ca1fa55e4ff902bff4f9c2383)] -> id: ConfirmPassword-error]
2023-12-19 16:12:49 INFO  ManageBrowser :31 - Chrome Browser Launch .....
2023-12-19 16:12:245 INFO  ManageBrowser :154 - Clicking on male radio button : [[ChromeDriver: chrome on windows (fa7d9227622bb2774f15909fb6246146)] -> id: gender-male]
